,precision,recall,f1-score,support
0,0.37028824833702884,0.43376623376623374,0.3995215311004785,385.0
1,0.5750507099391481,0.8094218415417559,0.6723984583456863,1401.0
2,0.15822784810126583,0.052854122621564484,0.0792393026941363,473.0
3,0.17647058823529413,0.03643724696356275,0.06040268456375839,247.0
4,0.9090909090909091,0.23529411764705882,0.3738317757009346,170.0
accuracy,0.5138266068759342,0.5138266068759342,0.5138266068759342,0.5138266068759342
macro avg,0.4378256607407292,0.3135547125080351,0.3170787504809988,2676.0
weighted avg,0.45634621906800205,0.5138266068759342,0.4528389703836787,2676.0
