,precision,recall,f1-score,support
0,0.6840277777777778,0.5116883116883116,0.5854383358098069,385.0
1,0.6318181818181818,0.892933618843683,0.7400177462289262,1401.0
2,0.21554770318021202,0.12896405919661733,0.16137566137566137,473.0
3,0.1643835616438356,0.048582995951417005,0.07499999999999998,247.0
4,0.8846153846153846,0.27058823529411763,0.4144144144144144,170.0
accuracy,0.5855754857997011,0.5855754857997011,0.5855754857997011,0.5855754857997011
macro avg,0.5160785218070784,0.3705514441948293,0.39524923156576175,2676.0
weighted avg,0.538665689793199,0.5855754857997011,0.5334322720607771,2676.0
