,precision,recall,f1-score,support
0,0.6385542168674698,0.13766233766233765,0.2264957264957265,385.0
1,0.6737704918032786,0.5867237687366167,0.6272415108737122,1401.0
2,0.22711058263971462,0.40380549682875266,0.29071537290715377,473.0
3,0.23355263157894737,0.2874493927125506,0.25771324863883843,247.0
4,0.4692982456140351,0.6294117647058823,0.5376884422110553,170.0
accuracy,0.4648729446935725,0.4648729446935725,0.4648729446935725,0.4648729446935725
macro avg,0.4484572337006892,0.409010552129228,0.38797086022529725,2676.0
weighted avg,0.5361312929197833,0.4648729446935725,0.47030522810526226,2676.0
