,precision,recall,f1-score,support
0,0.5,0.005194805194805195,0.010282776349614395,385.0
1,0.5246518630033873,0.9950035688793719,0.6870379497289306,1401.0
2,0.06666666666666667,0.0021141649048625794,0.004098360655737705,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.5220478325859492,0.5220478325859492,0.5220478325859492,0.5220478325859492
macro avg,0.21826370593401082,0.20046250779580793,0.14028381734685652,2676.0
weighted avg,0.3583970827358292,0.5220478325859492,0.3618974443404325,2676.0
