,precision,recall,f1-score,support
0,0.5041152263374485,0.6363636363636364,0.5625717566016073,385.0
1,0.5755980861244019,0.8586723768736617,0.6892008020624463,1401.0
2,0.25,0.019027484143763214,0.03536345776031434,473.0
3,0.047619047619047616,0.004048582995951417,0.00746268656716418,247.0
4,0.9302325581395349,0.23529411764705882,0.37558685446009393,170.0
accuracy,0.5597907324364724,0.5597907324364724,0.5597907324364724,0.5597907324364724
macro avg,0.46151298364408666,0.35068123960481434,0.3340371114903252,2676.0
weighted avg,0.48155781780486934,0.5597907324364724,0.4725636824895516,2676.0
