,precision,recall,f1-score,support
0,0.6073619631901841,0.5142857142857142,0.5569620253164557,385.0
1,0.6063984488608822,0.892933618843683,0.7222863741339491,1401.0
2,0.16580310880829016,0.06765327695560254,0.0960960960960961,473.0
3,0.2682926829268293,0.044534412955465584,0.0763888888888889,247.0
4,0.8867924528301887,0.27647058823529413,0.4215246636771301,170.0
accuracy,0.5751121076233184,0.5751121076233184,0.5751121076233184,0.5751121076233184
macro avg,0.5069297313232749,0.3591755222551519,0.374651609622504,2676.0
weighted avg,0.5152639995563143,0.5751121076233184,0.5090935320413376,2676.0
