,precision,recall,f1-score,support
0,0.6899038461538461,0.7454545454545455,0.7166042446941323,385.0
1,0.6847918436703483,0.5753033547466095,0.6252909231962762,1401.0
2,0.2565266742338252,0.47780126849894294,0.33382570162481534,473.0
3,0.17886178861788618,0.08906882591093117,0.11891891891891891,247.0
4,0.7721518987341772,0.3588235294117647,0.48995983935742976,170.0
accuracy,0.523916292974589,0.523916292974589,0.523916292974589,0.523916292974589
macro avg,0.5164472102820167,0.4492903048045587,0.4569199255583145,2676.0
weighted avg,0.5686801775924575,0.523916292974589,0.5315735874953279,2676.0
