,precision,recall,f1-score,support
0,0.8914728682170543,0.2987012987012987,0.44747081712062253,385.0
1,0.622143219908583,0.8743754461099215,0.7270029673590506,1401.0
2,0.2075,0.17547568710359407,0.19014891179839633,473.0
3,0.19469026548672566,0.08906882591093117,0.12222222222222222,247.0
4,0.7846153846153846,0.3,0.4340425531914893,170.0
accuracy,0.5590433482810164,0.5590433482810164,0.5590433482810164,0.5590433482810164
macro avg,0.5400843476455496,0.3475242515651491,0.3841774943383562,2676.0
weighted avg,0.5584679806858474,0.5590433482810164,0.5174603811934054,2676.0
