,precision,recall,f1-score,support
0,0.7909090909090909,0.22597402597402597,0.35151515151515145,385.0
1,0.6114488348530902,0.8615274803711634,0.7152592592592593,1401.0
2,0.24882629107981222,0.22410147991543342,0.23581757508342605,473.0
3,0.22,0.08906882591093117,0.12680115273775217,247.0
4,0.7121212121212122,0.27647058823529413,0.3983050847457627,170.0
accuracy,0.5489536621823617,0.5489536621823617,0.5489536621823617,0.5489536621823617
macro avg,0.5166610857926411,0.3354284800813696,0.3655396446682703,2676.0
weighted avg,0.5434361955794231,0.5489536621823617,0.5037313220115921,2676.0
