,precision,recall,f1-score,support
0,0.8318965517241379,0.5012987012987012,0.6256077795786061,385.0
1,0.7015130674002751,0.728051391862955,0.7145359019264448,1401.0
2,0.3228454172366621,0.4989429175475687,0.3920265780730897,473.0
3,0.47770700636942676,0.30364372469635625,0.3712871287128713,247.0
4,0.7352941176470589,0.4411764705882353,0.5514705882352942,170.0
accuracy,0.5975336322869955,0.5975336322869955,0.5975336322869955,0.5975336322869955
macro avg,0.6138512320755122,0.49462264119876326,0.5309855953052611,2676.0
weighted avg,0.6348279120955784,0.5975336322869954,0.6026944267404197,2676.0
