ordinal,scenario,dataset,dsm_mode_tag,residual,fusion,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,rmse,off_by_one_accuracy,qwk,linear_kappa,spearman,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_metric,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,SGD,0.001,100,5,0.3430493273542601,0.16468687879448135,0.2502778896982373,0.1625084173785109,0.19372953043992036,0.5296065521731876,1.014947683109118,1.422906770357793,0.7612107623318386,0.11054392972774807,0.0738060751968923,0.24335102968734437,0,0,0,0,"[[315, 70, 0, 0, 0], [794, 601, 6, 0, 0], [224, 247, 2, 0, 0], [86, 159, 2, 0, 0], [74, 85, 11, 0, 0]]",0.13561756623336818,69,val_qwk,56.523561239242554,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,SGD,0.001,100,5,0.45739910313901344,0.37652802090468585,0.25938939807150024,0.20668927042468083,0.2337965206981047,0.5436822681851159,0.7940956651718983,1.2017986022701703,0.8150224215246636,0.18605375910488986,0.11978780175884551,0.30127756969919806,0,0,0,0,"[[217, 166, 2, 0, 0], [384, 1002, 14, 1, 0], [86, 384, 3, 0, 0], [29, 214, 4, 0, 0], [19, 111, 33, 5, 2]]",0.2534260593314227,80,val_qwk,98.54956412315369,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,RMSprop,0.0001,100,5,0.3598654708520179,0.3607496465543806,0.2736882210453936,0.22946423625918025,0.23784675125898508,0.5340136245101623,0.9327354260089686,1.3030950852473562,0.7862481315396114,0.24973641500716726,0.14240614327897827,0.28696426828149696,0,0,0,0,"[[272, 104, 6, 2, 1], [727, 650, 16, 5, 3], [197, 264, 10, 1, 1], [80, 156, 7, 3, 1], [29, 66, 26, 21, 28]]",0.3102050057782152,85,val_qwk,51.49266076087952,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,RMSprop,0.0001,100,5,0.3807922272047833,0.3761367454553284,0.28580854881880613,0.25167861125224966,0.25644565032746985,0.5411416962076241,0.8923766816143498,1.2634922065663134,0.796711509715994,0.27976302980725753,0.16428916122738024,0.292670225102928,0,0,0,0,"[[257, 118, 7, 2, 1], [666, 709, 18, 5, 3], [182, 276, 13, 1, 1], [71, 161, 9, 4, 2], [23, 63, 25, 23, 36]]",0.36263885230964654,53,val_qwk,48.04159760475159,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,RMSprop,0.0001,100,5,0.36061285500747386,0.34813586576082656,0.27425314190095157,0.2258184403245052,0.23661601696440973,0.5340192044313141,0.9278774289985052,1.295184827320324,0.7866218236173393,0.2580401766092768,0.1461707193899776,0.30521509904302735,0,0,0,0,"[[280, 97, 6, 1, 1], [725, 647, 19, 7, 3], [196, 265, 10, 1, 1], [69, 169, 5, 2, 2], [29, 68, 21, 26, 26]]",0.3104018190469152,27,val_qwk,44.201218366622925,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,RMSprop,0.001,100,5,0.5257847533632287,0.40763278388278384,0.3052910175468026,0.2995239845641618,0.29786989089188165,0.5865553493355347,0.6591928251121076,1.05314675458673,0.8531390134529148,0.33348908590694326,0.22927349513298134,0.3727900031041727,0,0,0,0,"[[171, 202, 8, 3, 1], [179, 1186, 32, 3, 1], [36, 418, 15, 3, 1], [10, 216, 18, 1, 2], [4, 78, 32, 22, 34]]",0.4113833491902915,43,val_qwk,30.240736961364746,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,RMSprop,0.001,100,5,0.4899103139013453,0.3809058748556282,0.2591402026794939,0.25471913401084445,0.252117817737922,0.5428383451090659,0.6976831091180867,1.0733558010442188,0.8505231689088192,0.2814293463548826,0.16460994390148054,0.2857995304368084,0,0,0,0,"[[103, 266, 14, 2, 0], [184, 1165, 47, 2, 3], [32, 423, 13, 4, 1], [7, 221, 14, 4, 1], [4, 82, 32, 26, 26]]",0.366818508668883,13,val_qwk,19.632102966308594,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,RMSprop,0.001,100,5,0.5597907324364724,0.46151298364408666,0.35068123960481434,0.3340371114903252,0.33826770323711414,0.6242199889905312,0.6319133034379671,1.0533241565511966,0.852017937219731,0.35410242277319004,0.2721341156229955,0.44992734190792627,0,0,0,0,"[[245, 135, 3, 1, 1], [191, 1203, 5, 2, 0], [35, 428, 9, 0, 1], [7, 233, 5, 1, 1], [8, 91, 14, 17, 40]]",0.4093534485134591,37,val_qwk,54.09865474700928,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Nadam,0.0001,100,5,0.33856502242152464,0.35892110015120793,0.2628851453630695,0.22800993363460123,0.23150537500826376,0.5202434417137433,0.9491778774289985,1.301086127859191,0.7866218236173393,0.2622850257421405,0.136505077909727,0.27690303927632515,0,0,0,0,"[[250, 122, 10, 2, 1], [766, 607, 18, 7, 3], [205, 251, 14, 2, 1], [74, 160, 10, 2, 1], [25, 68, 15, 29, 33]]",0.32687280428482146,95,val_qwk,66.5028805732727,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Nadam,0.0001,100,5,0.36472346786248133,0.38744921763423557,0.2886152108673036,0.25038069024519916,0.25504108040388856,0.5362463076252181,0.9035874439461884,1.2605311239708652,0.7978325859491778,0.2985553819567739,0.16881279119507042,0.3311564010572022,0,0,0,0,"[[276, 98, 8, 3, 0], [728, 646, 19, 7, 1], [180, 280, 12, 0, 1], [66, 169, 7, 4, 1], [22, 63, 21, 26, 38]]",0.3575544827280872,87,val_qwk,87.61449241638184,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs128
