,precision,recall,f1-score,support
0,0.32324621733149933,0.6103896103896104,0.42266187050359716,385.0
1,0.5412946428571429,0.6923625981441828,0.6075790792358285,1401.0
2,0.189873417721519,0.03171247357293869,0.05434782608695651,473.0
3,0.0,0.0,0.0,247.0
4,0.7297297297297297,0.1588235294117647,0.2608695652173913,170.0
accuracy,0.46599402092675635,0.46599402092675635,0.46599402092675635,0.46599402092675635
macro avg,0.3568288015279782,0.29865764230369934,0.26909166820875474,2676.0
weighted avg,0.40981605715688224,0.46599402092675635,0.40508126232412844,2676.0
