,precision,recall,f1-score,support
0,0.20266120777891505,0.5142857142857142,0.2907488986784141,385.0
1,0.5161064425770309,0.5260528194147038,0.5210321668434076,1401.0
2,0.22727272727272727,0.12684989429175475,0.16282225237449116,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.3718236173393124,0.3718236173393124,0.3718236173393124,0.3718236173393124
macro avg,0.18920807552573465,0.23343768559843453,0.19492066357926255,2676.0
weighted avg,0.33953276944891725,0.37182361733931246,0.34339286887591103,2676.0
