,precision,recall,f1-score,support
0,0.19093851132686085,0.612987012987013,0.2911782850092535,385.0
1,0.5112593828190158,0.4375446109921485,0.4715384615384616,1401.0
2,0.17467248908296942,0.08456659619450317,0.11396011396011396,473.0
3,0.08333333333333333,0.004048582995951417,0.007722007722007722,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.3325859491778774,0.3325859491778774,0.3325859491778774,0.3325859491778774
macro avg,0.19204074331243587,0.22782936063392323,0.17687977364596735,2676.0
weighted avg,0.3337029681838044,0.3325859491778774,0.30961864505023057,2676.0
