,precision,recall,f1-score,support
0,0.19714964370546317,0.6467532467532467,0.30218446601941745,385.0
1,0.5125858123569794,0.4796573875802998,0.4955752212389381,1401.0
2,0.19607843137254902,0.042283298097251586,0.06956521739130435,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.351644245142003,0.351644245142003,0.351644245142003,0.351644245142003
macro avg,0.18116277748699833,0.23373878648615962,0.17346498092993198,2676.0
weighted avg,0.33138282286171417,0.351644245142003,0.31522655164398916,2676.0
