,precision,recall,f1-score,support
0,0.3323353293413174,0.5766233766233766,0.42165242165242167,385.0
1,0.552421500798297,0.7408993576017131,0.6329268292682927,1401.0
2,0.1320754716981132,0.02959830866807611,0.048359240069084625,473.0
3,0.0,0.0,0.0,247.0
4,1.0,0.029411764705882353,0.05714285714285715,170.0
accuracy,0.47795216741405083,0.47795216741405083,0.47795216741405083,0.47795216741405083
macro avg,0.40336646036754553,0.2753065615198096,0.23201626962653124,2676.0
weighted avg,0.42390258689388216,0.47795216741405083,0.4042058581494855,2676.0
