,precision,recall,f1-score,support
0,0.3096774193548387,0.12467532467532468,0.17777777777777778,385.0
1,0.6157354618015963,0.7708779443254818,0.6846275752773375,1401.0
2,0.24036697247706423,0.2769556025369979,0.25736738703339884,473.0
3,0.23404255319148937,0.13360323886639677,0.17010309278350513,247.0
4,0.6666666666666666,0.3176470588235294,0.43027888446215135,170.0
accuracy,0.5029895366218237,0.5029895366218237,0.5029895366218237,0.5029895366218237
macro avg,0.41329781469833105,0.3247518338455461,0.34403094346683416,2676.0
weighted avg,0.4733582251079715,0.5029895366218237,0.4725356224779086,2676.0
