,precision,recall,f1-score,support
0,0.19382239382239383,0.6519480519480519,0.29880952380952386,385.0
1,0.5198059822150364,0.45895788722341185,0.4874905231235785,1401.0
2,0.19402985074626866,0.02748414376321353,0.04814814814814815,473.0
3,0.02702702702702703,0.004048582995951417,0.007042253521126761,247.0
4,0.775,0.18235294117647058,0.29523809523809524,170.0
accuracy,0.3508968609865471,0.3508968609865471,0.3508968609865471,0.3508968609865471
macro avg,0.3419370507621452,0.26495832142141984,0.22734570876809448,2676.0
weighted avg,0.38605067181746955,0.3508968609865471,0.3261285039039868,2676.0
