,precision,recall,f1-score,support
0,0.49137931034482757,0.44415584415584414,0.4665757162346521,385.0
1,0.5981827359919233,0.8458244111349036,0.700768775872265,1401.0
2,0.16806722689075632,0.08456659619450317,0.11251758087201125,473.0
3,0.17567567567567569,0.05263157894736842,0.08099688473520249,247.0
4,0.8571428571428571,0.17647058823529413,0.29268292682926833,170.0
accuracy,0.5377428998505231,0.5377428998505231,0.5377428998505231,0.5377428998505231
macro avg,0.458089561209208,0.32072980373358273,0.3307083769086798,2676.0
weighted avg,0.48424402972083275,0.5377428998505231,0.4799670588902901,2676.0
