scenario,model,dataset,dsm_mode_tag,variant_tag,residual,fusion,epochs,num_classes,dsm_post_concat_with_rgb,use_four_stream,optimizer,learning_rate,batch_size,selected_metric,macro_f1,result_dir,ordinal,accuracy,precision,recall,macro_f2,mcc,mae,qwk,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_f1,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.0001,128,macro_f1,0.1708052372090127,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs128,True,0.336322869955157,0.1815915523759366,0.2468187390850605,0.1958143093838689,0.530466199616415,1.031763826606876,0.074513838674725,0,0,0,0,"[[300, 82, 3, 0, 0], [755, 581, 65, 0, 0], [224, 230, 19, 0, 0], [105, 128, 14, 0, 0], [89, 72, 9, 0, 0]]",0.1788135854535966,3,val_f1,13.41669511795044,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs128/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.0001,256,macro_f1,0.1888724462494174,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs256,True,0.3927503736920777,0.2058146608132315,0.2667909511931224,0.2185710563190078,0.5518435298920268,0.9603886397608372,0.0850697340177613,0,0,0,0,"[[301, 81, 3, 0, 0], [638, 738, 25, 0, 0], [203, 258, 12, 0, 0], [88, 153, 6, 0, 0], [74, 92, 4, 0, 0]]",0.1859162601099747,5,val_f1,12.04940700531006,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs256/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.0001,64,macro_f1,0.2141973209820906,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs64,True,0.3228699551569506,0.3509064021270499,0.2724504227961881,0.2238222061141928,0.5324458063874691,1.000747384155456,0.2310950800271526,0,0,0,0,"[[310, 68, 5, 2, 0], [855, 514, 19, 8, 5], [234, 225, 11, 3, 0], [105, 133, 6, 2, 1], [40, 57, 28, 18, 27]]",0.2567092833422429,26,val_f1,44.995445728302,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.0001_bs64/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.001,128,macro_f1,0.2326690511114557,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs128,True,0.3916292974588938,0.3487315880711336,0.2701824159394621,0.243138183151716,0.5314323985473435,0.8609865470852018,0.285147578557633,0,0,0,0,"[[241, 136, 7, 1, 0], [610, 772, 12, 5, 2], [143, 320, 8, 1, 1], [56, 181, 7, 1, 2], [11, 80, 28, 25, 26]]",0.279037025615314,52,val_f1,48.20021677017212,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs128/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.001,256,macro_f1,0.1699492188833483,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs256,True,0.3680866965620329,0.1520317127871387,0.2551383520120137,0.2017476388849848,0.5416888074849323,1.0033632286995515,0.0659039396060618,0,0,0,0,"[[304, 81, 0, 0, 0], [720, 681, 0, 0, 0], [214, 259, 0, 0, 0], [102, 145, 0, 0, 0], [92, 77, 1, 0, 0]]",0.1804076565449271,3,val_f1,10.653784990310667,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs256/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adam,0.001,64,macro_f1,0.2622837222017948,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs64,True,0.4630044843049327,0.3901415025409273,0.3030125648625522,0.277519481049055,0.5658698618616118,0.7660687593423019,0.3029227836730014,0,0,0,0,"[[260, 122, 3, 0, 0], [442, 947, 9, 3, 0], [95, 371, 6, 0, 1], [37, 203, 5, 1, 1], [12, 88, 22, 23, 25]]",0.3009864057017649,64,val_f1,84.67826437950134,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adam_lr0.001_bs64/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adamax,0.0001,128,macro_f1,0.1810822564936825,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs128,True,0.3613602391629297,0.1758390378558229,0.230359692595637,0.2011683638249888,0.5160141307649403,0.9630044843049328,0.0659119380209528,0,0,0,0,"[[222, 154, 9, 0, 0], [570, 714, 116, 1, 0], [162, 279, 31, 1, 0], [74, 152, 21, 0, 0], [73, 80, 17, 0, 0]]",0.1896255892613502,3,val_f1,13.707819700241089,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs128/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adamax,0.0001,256,macro_f1,0.1752142840607317,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs256,True,0.351270553064275,0.1777498282807656,0.2376433625634363,0.1980013785616214,0.5242619394522581,1.0,0.0652763223659728,0,0,0,0,"[[259, 120, 6, 0, 0], [664, 660, 77, 0, 0], [200, 251, 21, 1, 0], [94, 137, 16, 0, 0], [81, 77, 12, 0, 0]]",0.1820403119522342,6,val_f1,12.179380893707275,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs256/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adamax,0.0001,64,macro_f1,0.175625692255281,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs64,True,0.3288490284005979,0.2095901736146214,0.2413939047497346,0.1965842398012626,0.526800332763051,1.0381165919282511,0.0620052947737626,0,0,0,0,"[[281, 99, 5, 0, 0], [716, 565, 115, 5, 0], [228, 211, 33, 1, 0], [100, 123, 23, 1, 0], [95, 61, 14, 0, 0]]",0.1889654712045768,4,val_f1,19.40186905860901,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.0001_bs64/predictions.csv
5,FCSNN,dataset_16,dsm_density,,True,concat,100,5,,,Adamax,0.001,128,macro_f1,0.2254979859565091,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.001_bs128,True,0.3976083707025411,0.3829152684565818,0.2728817749037314,0.2404696020821595,0.539489951522601,0.8710762331838565,0.2560605732620423,0,0,0,0,"[[262, 116, 7, 0, 0], [608, 775, 14, 4, 0], [158, 307, 6, 2, 0], [62, 178, 3, 3, 1], [16, 86, 28, 22, 18]]",0.2768126160344703,43,val_f1,41.36215734481812,2676,results/scenario_5/FCSNN/dataset_16/dsm_density/residual_True/fusion_concat/Adamax_lr0.001_bs128/predictions.csv
