,precision,recall,f1-score,support
0,0.4796747967479675,0.15324675324675324,0.2322834645669291,385.0
1,0.5287896592244419,0.9635974304068522,0.6828528072837633,1401.0
2,0.0,0.0,0.0,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.5265321375186846,0.5265321375186846,0.5265321375186846,0.5265321375186846
macro avg,0.2016928911944819,0.22336883673072108,0.18302725437013848,2676.0
weighted avg,0.3458554220184643,0.5265321375186846,0.3909214935959716,2676.0
