,precision,recall,f1-score,support
0,0.405982905982906,0.24675324675324675,0.30694668820678517,385.0
1,0.5357744107744108,0.9086366880799429,0.6740799576383373,1401.0
2,0.07017543859649122,0.008456659619450317,0.01509433962264151,473.0
3,0.0,0.0,0.0,247.0
4,0.4,0.011764705882352941,0.022857142857142857,170.0
accuracy,0.5134529147982063,0.5134529147982063,0.5134529147982063,0.5134529147982063
macro avg,0.2823865510707616,0.2351222600669986,0.20379562566498138,2676.0
weighted avg,0.37672509370497337,0.5134529147982063,0.4011905203804733,2676.0
