,precision,recall,f1-score,support
0,0.5901639344262295,0.561038961038961,0.5752330226364847,385.0
1,0.5721577726218098,0.880085653104925,0.6934758155230596,1401.0
2,0.18478260869565216,0.035940803382663845,0.06017699115044248,473.0
3,0.0,0.0,0.0,247.0
4,0.8518518518518519,0.13529411764705881,0.23350253807106597,170.0
accuracy,0.5564275037369207,0.5564275037369207,0.5564275037369207,0.5564275037369207
macro avg,0.43979123351910865,0.3224719070347217,0.3124776734762105,2676.0
weighted avg,0.47123435834271754,0.5564275037369207,0.47129427486886916,2676.0
