,precision,recall,f1-score,support
0,0.5777027027027027,0.44415584415584414,0.5022026431718062,385.0
1,0.5665349143610013,0.9207708779443254,0.701468189233279,1401.0
2,0.08928571428571429,0.010570824524312896,0.01890359168241966,473.0
3,0.05263157894736842,0.004048582995951417,0.0075187969924812035,247.0
4,0.8571428571428571,0.1411764705882353,0.2424242424242424,170.0
accuracy,0.5571748878923767,0.5571748878923767,0.5571748878923767,0.5571748878923767
macro avg,0.4286595534879288,0.30414452004173376,0.2945034927008457,2676.0
weighted avg,0.4548121764318879,0.5571748878923767,0.45893707536323547,2676.0
