,precision,recall,f1-score,support
0,0.7133333333333334,0.2779220779220779,0.4,385.0
1,0.6221248630887185,0.8108493932905068,0.7040594979857454,1401.0
2,0.25742574257425743,0.2748414376321353,0.2658486707566462,473.0
3,0.31451612903225806,0.15789473684210525,0.21024258760107817,247.0
4,0.704225352112676,0.29411764705882354,0.41493775933609955,170.0
accuracy,0.546337817638266,0.546337817638266,0.546337817638266,0.546337817638266
macro avg,0.5223250840282487,0.3631250585491298,0.39901770313591384,2676.0
weighted avg,0.5476070390464778,0.546337817638266,0.5189099836212729,2676.0
