,precision,recall,f1-score,support
0,0.7103274559193955,0.7324675324675325,0.7212276214833759,385.0
1,0.6681190994916485,0.6566738044254105,0.6623470122390208,1401.0
2,0.27808219178082194,0.42917547568710357,0.3374896093100582,473.0
3,0.2159090909090909,0.07692307692307693,0.11343283582089553,247.0
4,0.6785714285714286,0.3352941176470588,0.4488188976377953,170.0
accuracy,0.5534379671150972,0.5534379671150972,0.5534379671150972,0.5534379671150972
macro avg,0.510201853334477,0.44610680143003645,0.45666319529822913,2676.0
weighted avg,0.564174325089979,0.5534379671150972,0.549166856004414,2676.0
