,precision,recall,f1-score,support
0,0.6645569620253164,0.2727272727272727,0.38674033149171266,385.0
1,0.6319954776710006,0.7980014275517487,0.7053627760252367,1401.0
2,0.2691552062868369,0.28964059196617337,0.2790224032586558,473.0
3,0.22794117647058823,0.12550607287449392,0.1618798955613577,247.0
4,0.7307692307692307,0.4470588235294118,0.5547445255474452,170.0
accuracy,0.5482062780269058,0.5482062780269058,0.5482062780269058,0.5482062780269058
macro avg,0.5048836106445946,0.38658683772982005,0.41754998637688157,2676.0
weighted avg,0.5415256902053427,0.5482062780269058,0.5244307836785244,2676.0
