,precision,recall,f1-score,support
0,0.8220338983050848,0.5038961038961038,0.6247987117552335,385.0
1,0.6882430647291942,0.7437544610992148,0.7149228130360207,1401.0
2,0.32148626817447495,0.42071881606765327,0.3644688644688645,473.0
3,0.3567567567567568,0.26720647773279355,0.3055555555555556,247.0
4,0.6721311475409836,0.4823529411764706,0.5616438356164384,170.0
accuracy,0.5915545590433483,0.5915545590433483,0.5915545590433483,0.5915545590433483
macro avg,0.5721302271012989,0.48358575999444725,0.5142779560864226,2676.0
weighted avg,0.6110447695741672,0.5915545590433483,0.5924887190807248,2676.0
