,precision,recall,f1-score,support
0,0.5979381443298969,0.7532467532467533,0.6666666666666666,385.0
1,0.6702928870292887,0.5717344753747323,0.6171032357473035,1401.0
2,0.26379542395693134,0.4143763213530655,0.3223684210526315,473.0
3,0.2122905027932961,0.15384615384615385,0.17840375586854462,247.0
4,0.7702702702702703,0.3352941176470588,0.4672131147540983,170.0
accuracy,0.5164424514200299,0.5164424514200299,0.5164424514200299,0.5164424514200299
macro avg,0.5029174456759367,0.4456995642935528,0.4503510388178489,2676.0
weighted avg,0.5521089147842162,0.5164424514200299,0.522122765438812,2676.0
