,precision,recall,f1-score,support
0,0.6261682242990654,0.522077922077922,0.5694050991501417,385.0
1,0.5779775280898877,0.9179157744468237,0.7093215664644237,1401.0
2,0.18181818181818182,0.02536997885835095,0.04452690166975881,473.0
3,0.1,0.012145748987854251,0.021660649819494584,247.0
4,0.8529411764705882,0.17058823529411765,0.2843137254901961,170.0
accuracy,0.5721225710014948,0.5721225710014948,0.5721225710014948,0.5721225710014948
macro avg,0.4677810221355446,0.32961953193301374,0.325845588518803,2676.0
weighted avg,0.4882366529181887,0.5721225710014948,0.4812127115538141,2676.0
