,precision,recall,f1-score,support
0,0.6814814814814815,0.7168831168831169,0.6987341772151899,385.0
1,0.6764934057408845,0.622412562455389,0.6483271375464685,1401.0
2,0.2538787023977433,0.38054968287526425,0.30456852791878175,473.0
3,0.2634730538922156,0.17813765182186234,0.21256038647342995,247.0
4,0.7169811320754716,0.4470588235294118,0.5507246376811594,170.0
accuracy,0.5411061285500748,0.5411061285500748,0.5411061285500748,0.5411061285500748
macro avg,0.5184615551175593,0.46900836751300884,0.482982973367006,2676.0
weighted avg,0.5669607230238003,0.5411061285500748,0.5483951776908701,2676.0
