,precision,recall,f1-score,support
0,0.19791666666666666,0.14805194805194805,0.16939078751857353,385.0
1,0.52428810720268,0.8936473947180585,0.6608603853259435,1401.0
2,0.0,0.0,0.0,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.4891629297458894,0.4891629297458894,0.4891629297458894,0.4891629297458894
macro avg,0.14444095477386934,0.2083398685540013,0.1660502345689034,2676.0
weighted avg,0.3029617170618914,0.4891629297458894,0.37035906316752526,2676.0
