,precision,recall,f1-score,support
0,0.18650421743205248,0.5168831168831168,0.2741046831955923,385.0
1,0.5306254029658285,0.5874375446109922,0.5575880758807588,1401.0
2,0.19607843137254902,0.021141649048625793,0.03816793893129771,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.38565022421524664,0.38565022421524664,0.38565022421524664,0.38565022421524664
macro avg,0.182641610354086,0.22509246210854697,0.17397213960152974,2676.0
weighted avg,0.33929574413515756,0.38565022421524664,0.3381033753564088,2676.0
