,precision,recall,f1-score,support
0,0.4265927977839335,0.4,0.41286863270777474,385.0
1,0.5884752677205507,0.8236973590292648,0.6864961332540154,1401.0
2,0.18828451882845187,0.09513742071881606,0.12640449438202248,473.0
3,0.3225806451612903,0.08097165991902834,0.12944983818770228,247.0
4,0.8301886792452831,0.25882352941176473,0.3946188340807175,170.0
accuracy,0.5295216741405082,0.5295216741405082,0.5295216741405082,0.5295216741405082
macro avg,0.4712243817479019,0.3317259938157748,0.3499675865224464,2676.0
weighted avg,0.4852616403048209,0.5295216741405082,0.47817045738047453,2676.0
