,precision,recall,f1-score,support
0,0.7035040431266847,0.6779220779220779,0.6904761904761906,385.0
1,0.6973140495867769,0.4817987152034261,0.5698607007176023,1401.0
2,0.2566111655239961,0.5539112050739958,0.3507362784471218,473.0
3,0.23383084577114427,0.1902834008097166,0.20982142857142858,247.0
4,0.6782608695652174,0.4588235294117647,0.5473684210526315,170.0
accuracy,0.4943946188340807,0.4943946188340807,0.4943946188340807,0.4943946188340807
macro avg,0.5139041947147638,0.47254778568419625,0.47365260385299496,2676.0
weighted avg,0.5763167743270768,0.4943946188340807,0.5138209862407598,2676.0
