,precision,recall,f1-score,support
0,0.17582417582417584,0.4155844155844156,0.2471042471042471,385.0
1,0.5217391304347826,0.5396145610278372,0.5305263157894736,1401.0
2,0.19935691318327975,0.13107822410147993,0.15816326530612246,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.3654708520179372,0.3654708520179372,0.3654708520179372,0.3654708520179372
macro avg,0.17938404388844764,0.21725544014274653,0.18715876563996864,2676.0
weighted avg,0.3336863413180603,0.3654708520179372,0.34126073544319263,2676.0
