,precision,recall,f1-score,support
0,0.6607142857142857,0.6727272727272727,0.6666666666666666,385.0
1,0.6574420344053852,0.6274089935760171,0.6420745069393718,1401.0
2,0.24573863636363635,0.3657505285412262,0.29396771452846215,473.0
3,0.16058394160583941,0.08906882591093117,0.11458333333333333,247.0
4,0.6886792452830188,0.4294117647058823,0.5289855072463767,170.0
accuracy,0.5254110612855007,0.5254110612855007,0.5254110612855007,0.5254110612855007
macro avg,0.4826316286744331,0.43687347709226587,0.4492555457428421,2676.0
weighted avg,0.5412650861273169,0.5254110612855007,0.5282097905179023,2676.0
