,precision,recall,f1-score,support
0,0.22077922077922077,0.7064935064935065,0.3364254792826221,385.0
1,0.5336322869955157,0.5096359743040685,0.5213581599123769,1401.0
2,0.06557377049180328,0.008456659619450317,0.014981273408239702,473.0
3,0.07692307692307693,0.008097165991902834,0.014652014652014654,247.0
4,0.9473684210526315,0.10588235294117647,0.19047619047619047,170.0
accuracy,0.3774289985052317,0.3774289985052317,0.3774289985052317,0.3774289985052317
macro avg,0.3688553552484496,0.267713131870021,0.21557862354628873,2676.0
weighted avg,0.39001788456737213,0.3774289985052317,0.3374561785811461,2676.0
