,precision,recall,f1-score,support
0,0.6179540709812108,0.7688311688311689,0.6851851851851851,385.0
1,0.6638972809667674,0.6274089935760171,0.645137614678899,1401.0
2,0.2558139534883721,0.37209302325581395,0.3031869078380706,473.0
3,0.21904761904761905,0.0931174089068826,0.13068181818181818,247.0
4,0.8,0.3764705882352941,0.512,170.0
accuracy,0.5373692077727952,0.5373692077727952,0.5373692077727952,0.5373692077727952
macro avg,0.5113425848967939,0.44758423656103535,0.45523830517679453,2676.0
weighted avg,0.5527418422522307,0.5373692077727952,0.5345141670253176,2676.0
