,precision,recall,f1-score,support
0,0.8382352941176471,0.2961038961038961,0.43761996161228406,385.0
1,0.6425260718424102,0.7915774446823698,0.7093060441317556,1401.0
2,0.27992633517495397,0.321353065539112,0.2992125984251968,473.0
3,0.2647058823529412,0.18218623481781376,0.2158273381294964,247.0
4,0.6435643564356436,0.38235294117647056,0.4797047970479704,170.0
accuracy,0.554932735426009,0.554932735426009,0.554932735426009,0.554932735426009
macro avg,0.5337915879847193,0.39471471646393247,0.42833414786934065,2676.0
weighted avg,0.5717836565618459,0.554932735426009,0.5375964798656867,2676.0
