,precision,recall,f1-score,support
0,0.6207674943566591,0.7142857142857143,0.6642512077294686,385.0
1,0.6703483432455395,0.563169164882227,0.6121024049650893,1401.0
2,0.24417009602194786,0.3763213530655391,0.29617304492512475,473.0
3,0.21153846153846154,0.17813765182186234,0.1934065934065934,247.0
4,0.6302521008403361,0.4411764705882353,0.5190311418685122,170.0
accuracy,0.5085949177877429,0.5085949177877429,0.5085949177877429,0.5085949177877429
macro avg,0.47541529920058884,0.4546180709287156,0.45699287857895765,2676.0
weighted avg,0.5429890981971424,0.5085949177877429,0.5192035714763061,2676.0
