,precision,recall,f1-score,support
0,0.8409090909090909,0.2883116883116883,0.42940038684719534,385.0
1,0.6314391927774827,0.8486795146324054,0.7241169305724727,1401.0
2,0.26,0.24735729386892177,0.2535211267605634,473.0
3,0.2903225806451613,0.145748987854251,0.19407008086253366,247.0
4,0.6896551724137931,0.35294117647058826,0.4669260700389105,170.0
accuracy,0.5653961136023916,0.5653961136023916,0.5653961136023916,0.5653961136023916
macro avg,0.5424652073491056,0.37660773222757093,0.41360691901633506,2676.0
weighted avg,0.5681342921565594,0.5653961136023916,0.5332717501889431,2676.0
