,precision,recall,f1-score,support
0,0.6832844574780058,0.6051948051948052,0.6418732782369145,385.0
1,0.6231599607458292,0.9064953604568166,0.7385867984879325,1401.0
2,0.20903954802259886,0.07822410147991543,0.11384615384615386,473.0
3,0.2413793103448276,0.05668016194331984,0.09180327868852459,247.0
4,0.8709677419354839,0.3176470588235294,0.4655172413793104,170.0
accuracy,0.600896860986547,0.600896860986547,0.600896860986547,0.600896860986547
macro avg,0.5255662037053491,0.3928482975796773,0.4103253501277672,2676.0
weighted avg,0.5391152963874561,0.600896860986547,0.537198762497229,2676.0
