,precision,recall,f1-score,support
0,0.23699851411589895,0.8285714285714286,0.36857307914500287,385.0
1,0.5269943593875906,0.4668094218415418,0.4950794852384557,1401.0
2,0.1,0.012684989429175475,0.0225140712945591,473.0
3,0.0,0.0,0.0,247.0
4,0.7777777777777778,0.041176470588235294,0.0782122905027933,170.0
accuracy,0.3684603886397608,0.3684603886397608,0.3684603886397608,0.3684603886397608
macro avg,0.3283541302562535,0.26984846208607627,0.19287578523616217,2676.0
weighted avg,0.37708734964830265,0.3684603886397608,0.32117049304846923,2676.0
