,precision,recall,f1-score,support
0,0.2178294573643411,0.7298701298701299,0.3355223880597015,385.0
1,0.5309803921568628,0.483226266952177,0.5059790732436472,1401.0
2,0.24324324324324326,0.05708245243128964,0.09246575342465754,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.3680866965620329,0.3680866965620329,0.3680866965620329,0.3680866965620329
macro avg,0.1984106185528894,0.2540357698507193,0.18679344294560124,2676.0
weighted avg,0.35232508391296347,0.3680866965620329,0.3295176017889379,2676.0
