,precision,recall,f1-score,support
0,0.4961832061068702,0.16883116883116883,0.25193798449612403,385.0
1,0.5917132216014898,0.907209136331192,0.7162581008734855,1401.0
2,0.22021660649819494,0.12896405919661733,0.16266666666666665,473.0
3,0.2647058823529412,0.0728744939271255,0.11428571428571428,247.0
4,0.8269230769230769,0.2529411764705882,0.38738738738738737,170.0
accuracy,0.5448430493273543,0.5448430493273543,0.5448430493273543,0.5448430493273543
macro avg,0.4799483986965146,0.3061640069513384,0.3265071707418756,2676.0
weighted avg,0.4970637102789904,0.5448430493273543,0.4751492839957107,2676.0
