,precision,recall,f1-score,support
0,0.699438202247191,0.6467532467532467,0.6720647773279351,385.0
1,0.6768627450980392,0.6159885795860099,0.6449925261584455,1401.0
2,0.2610294117647059,0.4503171247357294,0.330488750969744,473.0
3,0.20567375886524822,0.11740890688259109,0.14948453608247422,247.0
4,0.7840909090909091,0.40588235294117647,0.5348837209302325,170.0
accuracy,0.5317638266068759,0.5317638266068759,0.5317638266068759,0.5317638266068759
macro avg,0.5254190054132187,0.4472700421797507,0.4663828622937663,2676.0
weighted avg,0.5699298200662922,0.5317638266068759,0.5405656056047969,2676.0
