,precision,recall,f1-score,support
0,0.7832853025936599,0.7609182530795073,0.771939789832434,1786.0
1,0.5462274176408076,0.5775280898876405,0.5614418350628072,890.0
accuracy,0.6999252615844545,0.6999252615844545,0.6999252615844545,0.6999252615844545
macro avg,0.6647563601172337,0.6692231714835739,0.6666908124476206,2676.0
weighted avg,0.7044431809165155,0.6999252615844545,0.7019311277453758,2676.0
