,precision,recall,f1-score,support
0,0.7413793103448276,0.11168831168831168,0.19413092550790065,385.0
1,0.6544747081712062,0.6002855103497502,0.6262099776619507,1401.0
2,0.21980676328502416,0.38477801268498946,0.27978478093774023,473.0
3,0.20962199312714777,0.24696356275303644,0.22676579925650556,247.0
4,0.4719626168224299,0.5941176470588235,0.5260416666666666,170.0
accuracy,0.4588938714499253,0.4588938714499253,0.4588938714499253,0.4588938714499253
macro avg,0.45944907835012716,0.38756660890698225,0.3705866300061528,2676.0
weighted avg,0.5374921438066717,0.4588938714499253,0.45958035207704634,2676.0
