,precision,recall,f1-score,support
0,0.6374133949191686,0.7168831168831169,0.6748166259168704,385.0
1,0.6656394453004623,0.6167023554603854,0.6402371248610597,1401.0
2,0.2619047619047619,0.4186046511627907,0.322213181448332,473.0
3,0.15625,0.06072874493927125,0.08746355685131195,247.0
4,0.6774193548387096,0.37058823529411766,0.47908745247148293,170.0
accuracy,0.5291479820627802,0.5291479820627802,0.5291479820627802,0.5291479820627802
macro avg,0.47972539139262044,0.43670142074793644,0.4407635883098114,2676.0
weighted avg,0.5439465667463979,0.5291479820627802,0.5277398405066618,2676.0
