,precision,recall,f1-score,support
0,0.3618421052631579,0.14285714285714285,0.20484171322160147,385.0
1,0.6283405842137973,0.721627408993576,0.6717607973421926,1401.0
2,0.2816691505216095,0.39957716701902746,0.3304195804195804,473.0
3,0.28104575163398693,0.17408906882591094,0.21500000000000002,247.0
4,0.7362637362637363,0.3941176470588235,0.5134099616858238,170.0
accuracy,0.5100896860986547,0.5100896860986547,0.5100896860986547,0.5100896860986547
macro avg,0.4578322655792576,0.36645368695089614,0.3870864105338397,2676.0
weighted avg,0.5035228000840797,0.5100896860986547,0.4920306770148655,2676.0
