,precision,recall,f1-score,support
0,0.646551724137931,0.7792207792207793,0.706713780918728,385.0
1,0.673866090712743,0.6680942184154176,0.6709677419354838,1401.0
2,0.2531055900621118,0.34460887949260044,0.2918531781557744,473.0
3,0.23404255319148937,0.08906882591093117,0.12903225806451613,247.0
4,0.7647058823529411,0.38235294117647056,0.5098039215686274,170.0
accuracy,0.5553064275037369,0.5553064275037369,0.5553064275037369,0.5553064275037369
macro avg,0.5144543680914433,0.45266912884323973,0.46167417612862593,2676.0
weighted avg,0.5607385133106625,0.5553064275037369,0.5488396112786272,2676.0
