,precision,recall,f1-score,support
0,0.32063492063492066,0.5246753246753246,0.39802955665024636,385.0
1,0.5544499723604202,0.7159172019985724,0.6249221183800623,1401.0
2,0.14792899408284024,0.052854122621564484,0.0778816199376947,473.0
3,0.22448979591836735,0.044534412955465584,0.07432432432432433,247.0
4,0.9473684210526315,0.10588235294117647,0.19047619047619047,170.0
accuracy,0.4704783258594918,0.4704783258594918,0.4704783258594918,0.4704783258594918
macro avg,0.438974420809836,0.28877268303842074,0.2731267619537036,2676.0
weighted avg,0.4434607178973694,0.4704783258594918,0.4171652966668169,2676.0
