,precision,recall,f1-score,support
0,0.7789473684210526,0.38441558441558443,0.5147826086956523,385.0
1,0.6144519883608147,0.9043540328336902,0.7317354894600057,1401.0
2,0.21794871794871795,0.14376321353065538,0.17324840764331212,473.0
3,0.3,0.0728744939271255,0.11726384364820848,247.0
4,0.8653846153846154,0.2647058823529412,0.40540540540540543,170.0
accuracy,0.577727952167414,0.577727952167414,0.577727952167414,0.577727952167414
macro avg,0.5553465380230401,0.35402264141199935,0.3884871509705168,2676.0
weighted avg,0.5549503365996766,0.577727952167414,0.5243581129284779,2676.0
