,precision,recall,f1-score,support
0,0.2463768115942029,0.04415584415584416,0.0748898678414097,385.0
1,0.5197545070962792,0.9671663097787295,0.6761477045908183,1401.0
2,0.0,0.0,0.0,473.0
3,0.0,0.0,0.0,247.0
4,0.0,0.0,0.0,170.0
accuracy,0.5127055306427504,0.5127055306427504,0.5127055306427504,0.5127055306427504
macro avg,0.15322626373809642,0.20226443078691472,0.1502075144864456,2676.0
weighted avg,0.307560215585073,0.5127055306427504,0.3647666417229743,2676.0
